variant,epoch,train_loss,selection_score,complete_accuracy,complete_macro_f1,complete_mae
tiny_frozen,1,1.2233095588507477,0.1175841943183723,0.532967032967033,0.37215973170928934,0.7649925351142883
tiny_frozen,2,1.1459989856790613,0.16129613113680646,0.5480769230769231,0.3995534677869488,0.7171556949615479
tiny_frozen,3,1.1184967579665008,0.1775470251015327,0.554945054945055,0.42241076131437144,0.7120764851570129
tiny_frozen,4,1.0720458339761805,0.27434045138764285,0.5604395604395604,0.5179281704875549,0.7294385433197021
tiny_frozen,5,1.0368223874657243,0.2334220917988456,0.5645604395604396,0.4802134059592514,0.722036600112915
tiny_frozen,6,1.0079294156145167,0.24165920385772513,0.5508241758241759,0.47553749548206703,0.7065973877906799
tiny_frozen,7,0.9602713695278874,0.18229231393659107,0.5260989010989011,0.45106224996969324,0.803795337677002
tiny_finetune,1,1.2152378691567316,0.16305218034153177,0.5521978021978022,0.4052839252015783,0.7223614454269409
tiny_finetune,2,1.1186920327168923,0.185575043422748,0.5631868131868132,0.4169828013204646,0.6954481601715088
tiny_finetune,3,1.0705741577678256,0.19147620135694549,0.5618131868131868,0.4369650707293054,0.7187895178794861
tiny_finetune,4,1.0128475813953965,0.27504591258997324,0.5755494505494505,0.5064513367820354,0.6948665380477905
tiny_finetune,5,0.9636245480290165,0.320951418754938,0.5851648351648352,0.5332980445883672,0.6583763957023621
tiny_finetune,6,0.903148826625612,0.28921138398733054,0.5837912087912088,0.5135441566396041,0.6801037192344666
tiny_finetune,7,0.8810723302540956,0.2633774702684848,0.5741758241758241,0.5046338211407425,0.7171583771705627
tiny_finetune,8,0.8254763318432702,0.2576529431823838,0.5796703296703297,0.5012014412462568,0.6977875232696533
tiny_weighted,1,1.248662460733343,0.16098758343696395,0.5494505494505495,0.40474483972134684,0.7285085916519165
tiny_weighted,2,1.153286267209936,0.20473815150154867,0.5659340659340659,0.4388449502463754,0.6976128220558167
tiny_weighted,3,1.102735561353189,0.2752749562556301,0.5659340659340659,0.5091909918551996,0.7241631150245667
tiny_weighted,4,1.044826344207481,0.3137805386604629,0.5796703296703297,0.5607491113805481,0.699555516242981
tiny_weighted,5,1.003217868230961,0.3220730879432677,0.5769230769230769,0.544898164904344,0.6778661608695984
tiny_weighted,6,0.9377942272910366,0.304693592189058,0.5796703296703297,0.5434570813437613,0.6940969824790955
tiny_weighted,7,0.9110682010650635,0.2923563454611303,0.5714285714285714,0.5369001307820677,0.7035908102989197
tiny_weighted,8,0.8530181502854383,0.26654840306863536,0.5673076923076923,0.49982347762216844,0.7136461138725281
