sample_id,modality,modality_index,start_position,end_position_exclusive,masked_effective_positions,raw_zero_fraction,delta_predicted_class_probability,delta_strength
01,vision,2,5,8,3,0.0,0.000357210636138916,-0.0019654035568237305
01,vision,2,6,9,3,0.0,0.0065517425537109375,0.010630786418914795
01,vision,2,7,10,3,0.0,0.006833583116531372,0.011397361755371094
01,vision,2,8,11,3,0.0,-0.00030237436294555664,-3.039836883544922e-05
01,vision,2,9,12,3,0.0,-0.003580749034881592,-0.004580199718475342
01,vision,2,10,13,3,0.0,-0.004556864500045776,-0.006096869707107544
01,vision,2,11,14,3,0.0,-0.0047724246978759766,-0.006292521953582764
01,vision,2,12,15,3,0.0,-0.0035666823387145996,-0.004808366298675537
01,vision,2,13,16,3,0.0,-0.0021194517612457275,-0.003234773874282837
01,vision,2,14,17,3,0.0,-0.0013345181941986084,-0.002449542284011841
01,vision,2,15,18,3,0.0,-0.0007721185684204102,-0.0020894408226013184
01,vision,2,16,19,3,0.0,-0.0018563568592071533,-0.0035347342491149902
01,vision,2,17,20,3,0.0,-0.0030378401279449463,-0.004831790924072266
01,vision,2,18,21,3,0.0,-0.0018996596336364746,-0.0035569071769714355
01,vision,2,19,22,3,0.0,0.0001576542854309082,-0.0007237792015075684
01,vision,2,20,23,3,0.0,0.001856684684753418,0.001443028450012207
02,text,0,1,4,3,0.0,0.04129883646965027,-0.0010624192655086517
02,text,0,2,5,3,0.0,-0.025477826595306396,-0.0993148684501648
02,text,0,3,6,3,0.0,0.006854146718978882,0.03932987153530121
02,text,0,4,7,3,0.0,0.02977815270423889,0.11971521377563477
02,text,0,5,8,3,0.0,0.06236010789871216,0.1556345373392105
02,text,0,6,9,3,0.0,0.047945231199264526,0.1662290096282959
02,text,0,7,10,3,0.0,0.021347016096115112,0.0407809317111969
02,text,0,8,11,3,0.0,-0.03401637077331543,0.10470554232597351
02,text,0,9,12,3,0.0,0.008224248886108398,0.14949670433998108
02,text,0,10,13,3,0.0,-0.07492023706436157,-0.03949480503797531
02,text,0,11,14,3,0.0,-0.044874489307403564,-0.1402713656425476
02,text,0,12,15,3,0.0,-0.02923053503036499,-0.21792300045490265
02,text,0,13,16,3,0.0,0.03418934345245361,0.12809604406356812
02,text,0,14,17,3,0.0,0.03588634729385376,0.15499326586723328
02,text,0,15,18,3,0.0,-0.009745508432388306,0.028168976306915283
02,text,0,16,19,3,0.0,-0.049660712480545044,-0.19748589396476746
02,text,0,17,20,3,0.0,-0.027165710926055908,-0.12866443395614624
02,audio,1,1,4,3,0.0,-0.00043007731437683105,0.0069793276488780975
02,audio,1,2,5,3,0.0,-0.0006125569343566895,-0.014444351196289062
02,audio,1,3,6,3,0.0,-0.009835749864578247,-0.04249148070812225
02,audio,1,4,7,3,0.0,-0.008888274431228638,-0.05502648651599884
02,audio,1,5,8,3,0.0,-0.0094471275806427,-0.04480169713497162
02,audio,1,6,9,3,0.0,-0.0036487579345703125,-0.010868880897760391
02,audio,1,7,10,3,0.0,-0.0026008188724517822,0.012804804369807243
02,audio,1,8,11,3,0.0,-0.002159595489501953,0.017751149833202362
02,audio,1,9,12,3,0.0,-0.0009195506572723389,0.008557472378015518
02,audio,1,10,13,3,0.0,0.0010553598403930664,0.007763540372252464
02,audio,1,11,14,3,0.0,0.0007922053337097168,0.00783662497997284
02,audio,1,12,15,3,0.0,0.0015819072723388672,0.0032902993261814117
02,audio,1,13,16,3,0.0,0.0011065900325775146,0.00043840333819389343
02,audio,1,14,17,3,0.0,0.0004994869232177734,0.0002650488168001175
02,audio,1,15,18,3,0.0,0.000949561595916748,0.001091020181775093
02,audio,1,16,19,3,0.0,0.002000272274017334,0.0038001779466867447
02,audio,1,17,20,3,0.0,0.001698613166809082,0.008260034024715424
02,vision,2,1,4,3,0.0,-0.0018832385540008545,0.00010057911276817322
02,vision,2,2,5,3,0.0,-0.0013332366943359375,-0.006210602819919586
02,vision,2,3,6,3,0.0,-0.00072479248046875,-0.007537905126810074
02,vision,2,4,7,3,0.0,0.000704646110534668,-0.007694531232118607
02,vision,2,5,8,3,0.0,0.0005829930305480957,-0.006471194326877594
02,vision,2,6,9,3,0.0,0.0004858672618865967,-0.005923248827457428
02,vision,2,7,10,3,0.0,0.0004897713661193848,-0.00446850061416626
02,vision,2,8,11,3,0.0,0.0005065202713012695,-0.004339057952165604
02,vision,2,9,12,3,0.0,0.00041607022285461426,-0.0052817463874816895
02,vision,2,10,13,3,0.0,0.0004502236843109131,-0.005453810095787048
02,vision,2,11,14,3,0.0,0.0004519820213317871,-0.005537930876016617
02,vision,2,12,15,3,0.0,0.0005455613136291504,-0.005210798233747482
02,vision,2,13,16,3,0.0,0.00020617246627807617,-0.003037691116333008
02,vision,2,14,17,3,0.0,-6.493926048278809e-05,-0.0015447847545146942
02,vision,2,15,18,3,0.0,2.104043960571289e-05,0.000803142786026001
02,vision,2,16,19,3,0.0,0.0003202855587005615,-0.0027885213494300842
02,vision,2,17,20,3,0.0,0.0006438195705413818,0.00016108155250549316
03,text,0,1,4,3,0.0,0.014806181192398071,-0.029686346650123596
03,text,0,2,5,3,0.0,0.04079920053482056,-0.008969973772764206
03,text,0,3,6,3,0.0,0.068200021982193,0.07183171808719635
03,text,0,4,7,3,0.0,0.07043662667274475,0.12236897647380829
03,text,0,5,8,3,0.0,0.07619515061378479,0.12277962267398834
03,text,0,6,9,3,0.0,0.05114629864692688,0.10567900538444519
03,text,0,7,10,3,0.0,0.01315566897392273,0.08933672308921814
03,text,0,8,11,3,0.0,0.0069869160652160645,0.0968828946352005
03,text,0,9,12,3,0.0,-0.031122028827667236,0.07397773861885071
03,text,0,10,13,3,0.0,-0.03307071328163147,0.0002338811755180359
03,text,0,11,14,3,0.0,-0.03184095025062561,0.011159278452396393
03,text,0,12,15,3,0.0,-0.019997358322143555,-0.023064155131578445
03,text,0,13,16,3,0.0,0.0037347078323364258,0.01621730625629425
03,text,0,14,17,3,0.0,0.000783085823059082,-0.00467488169670105
03,text,0,15,18,3,0.0,0.017419517040252686,0.04029388725757599
03,text,0,16,19,3,0.0,-0.015036791563034058,-0.10247015208005905
03,text,0,17,20,3,0.0,0.02330157160758972,-0.16292701661586761
03,text,0,18,21,3,0.0,0.022620558738708496,-0.22509092092514038
03,text,0,19,22,3,0.0,0.024596840143203735,-0.12961071729660034
03,text,0,20,23,3,0.0,0.02696281671524048,-0.13462138175964355
03,text,0,21,24,3,0.0,0.039136528968811035,-0.06074511259794235
03,text,0,22,25,3,0.0,0.02311202883720398,-0.027602342888712883
03,text,0,23,26,3,0.0,0.018048882484436035,0.007766734808683395
03,text,0,24,27,3,0.0,0.0107918381690979,0.036926791071891785
03,text,0,25,28,3,0.0,-0.00436827540397644,0.00649343803524971
03,text,0,26,29,3,0.0,-0.01256135106086731,-0.005768250674009323
03,text,0,27,30,3,0.0,0.028328359127044678,-0.039208415895700455
03,text,0,28,31,3,0.0,0.04193675518035889,-0.05468270927667618
03,text,0,29,32,3,0.0,0.06301078200340271,-0.02144607901573181
03,text,0,30,33,3,0.0,0.06750202178955078,0.021146565675735474
03,text,0,31,34,3,0.0,0.041931867599487305,0.07994776964187622
03,audio,1,1,4,3,0.0,-0.006770133972167969,-0.00439111515879631
03,audio,1,2,5,3,0.0,-0.006953567266464233,0.0014278963208198547
03,audio,1,3,6,3,0.0,-0.004591166973114014,0.0029611513018608093
03,audio,1,4,7,3,0.0,-0.0019769668579101562,0.010114841163158417
03,audio,1,5,8,3,0.0,-0.00035449862480163574,0.010070428252220154
