ordinary_class_weight,neutral_log_bias,panel_score,selection_score,complete_accuracy,complete_macro_f1,complete_mae,complete_pearson
0.0,-0.4,0.34442146591790274,0.34612030803968874,0.6016483516483516,0.5459007225876636,0.6778661608695984,0.5439490862040881
0.0,-0.2,0.349761682661977,0.3483643580044187,0.5947802197802198,0.5510646208265667,0.6778661608695984,0.5439490862040881
0.0,0.0,0.3373895692988692,0.3361724016280234,0.5769230769230769,0.544898164904344,0.6778661608695984,0.5439490862040881
0.0,0.2,0.3375551192213943,0.34017927166319617,0.5796703296703297,0.557847292452732,0.6778661608695984,0.5439490862040881
0.0,0.4,0.3276327007069316,0.3297332893999735,0.5645604395604396,0.5510180905386567,0.6778661608695984,0.5439490862040881
0.15,-0.4,0.3421678482170759,0.34079193057972024,0.5975274725274725,0.5332153272703223,0.6778661608695984,0.5439490862040881
0.15,-0.2,0.343958948767426,0.340346980599491,0.5892857142857143,0.5360950844904632,0.6778661608695984,0.5439490862040881
0.15,0.0,0.3489821180719022,0.35337183440181885,0.6002747252747253,0.5671591501018115,0.6778661608695984,0.5439490862040881
0.15,0.2,0.34656703682253487,0.34728234776652483,0.5865384615384616,0.5613676297956336,0.6778661608695984,0.5439490862040881
0.15,0.4,0.33427186713815676,0.33470641718402006,0.570054945054945,0.5521377633178876,0.6778661608695984,0.5439490862040881
0.3,-0.4,0.33231080379804945,0.3350893254880855,0.5947802197802198,0.532866248489089,0.6778661608695984,0.5439490862040881
0.3,-0.2,0.3472914434852873,0.3496030294261385,0.6002747252747253,0.5554652793723198,0.6778661608695984,0.5439490862040881
0.3,0.0,0.3493372415986353,0.3506403127464438,0.5975274725274725,0.5582700691740979,0.6778661608695984,0.5439490862040881
0.3,0.2,0.3460258429969179,0.3468191759137004,0.5879120879120879,0.5592237036619432,0.6778661608695984,0.5439490862040881
0.3,0.4,0.3386893901167656,0.33814382061640574,0.5728021978021978,0.5543050783429598,0.6778661608695984,0.5439490862040881
