model,epoch,train_loss,selection_score,complete_macro_f1,complete_mae
baseline,1,1.268079576668916,0.06380423220834054,0.31851402689157465,0.7536555528640747
baseline,2,1.1625555488798354,0.09479944675775952,0.3523010583268949,0.780935525894165
baseline,3,1.0418924865899262,0.16656650645289206,0.41110249966382995,0.7229414582252502
baseline,4,0.8709002137184143,0.22974456157965992,0.4742875787547483,0.7219861149787903
baseline,5,0.687817597830737,0.22811659384385777,0.48834589821331464,0.7461325526237488
baseline,6,0.5093268851439158,0.15571205504840396,0.4403901223928807,0.8585774302482605
baseline,7,0.4169089374718843,0.18860862131457232,0.45226852983947524,0.7860340476036072
baseline,8,0.2870381446900191,0.20371492612476433,0.4719701780246628,0.7628567218780518
no_augment,1,1.2689152735250968,-0.014552190926016673,0.23909051909051912,0.7602373957633972
no_augment,2,1.1722972039823178,0.10684427152385781,0.35814835007918583,0.7595835328102112
no_augment,3,1.0615671895168446,0.1322541850368846,0.3794907757039594,0.7409461736679077
no_augment,4,0.9130985538164774,0.13953166720146007,0.39835356025197216,0.79296875
no_augment,5,0.7737396646428991,0.19081252290616293,0.4350337598245548,0.7356025576591492
no_augment,6,0.5852733033674734,0.24598626846589128,0.498467993322401,0.7428591251373291
no_augment,7,0.43598160920319734,0.2053535974459805,0.47663283565132203,0.7799534797668457
no_augment,8,0.3651714821656545,0.2344427290892495,0.48779462077558106,0.73270583152771
no_augment,9,0.27029370212996445,0.18753263008838433,0.44435510327983446,0.7845976948738098
no_augment,10,0.26659709215164185,0.21342877725595083,0.4715176533511552,0.756598174571991
no_mask,1,1.2707369239241988,-0.0384566397201724,0.21138211382113822,0.7526573538780212
no_mask,2,1.1957681708865695,0.08971129256304503,0.35332947307469603,0.7934889793395996
no_mask,3,1.09458409415351,0.1294447906060743,0.38993710691823896,0.7834603190422058
no_mask,4,0.9968247612317404,0.16523183912278672,0.4043424539454092,0.7135667204856873
no_mask,5,0.881355532893428,0.16412206027647797,0.43759381576009765,0.8001325130462646
no_mask,6,0.7624581544487564,0.13886542463096235,0.4174289986646966,0.8522452712059021
no_mask,7,0.6776791170791343,0.21310958401775734,0.4688154875848693,0.7622125744819641
no_mask,8,0.6007636145309165,0.22854075039042593,0.5028946816450027,0.7872405648231506
no_mask,9,0.509788124649613,0.2050750426357742,0.4762902187554043,0.7901586890220642
no_mask,10,0.44632205698225236,0.1829088492291934,0.4462578233292729,0.7940903306007385
no_mask,11,0.4261977904372745,0.20176962898150066,0.46383626390647364,0.779551088809967
no_mask,12,0.41783800610789545,0.23374086237212763,0.5050637692758119,0.7945982813835144
no_mask,13,0.4230066173606449,0.23202242896860098,0.4738816070735196,0.7303250432014465
no_mask,14,0.36402438084284466,0.19825186749141901,0.4482302555697051,0.7619181275367737
no_mask,15,0.3122945725917816,0.2584070866304886,0.5113797549967763,0.726198136806488
no_mask,16,0.2779576966056117,0.24634666857510049,0.49504977455613813,0.7385087609291077
fixed,1,1.2694793851287276,-0.03995576806184721,0.21138211382113822,0.756067156791687
fixed,2,1.1995792300612838,0.08917048327426073,0.34800278429897497,0.7708160281181335
fixed,3,1.112098596714161,0.1396251137257796,0.39151706143280895,0.7500587105751038
fixed,4,1.0234274025316592,0.16243359533413357,0.40885852008402984,0.7299739122390747
fixed,5,0.9232992927233378,0.2139651867602761,0.44620818824852354,0.7011950016021729
fixed,6,0.8011150713320132,0.16597821466224322,0.42438869655797046,0.7965071797370911
fixed,7,0.6973772711224027,0.21688024202159356,0.46149965286846734,0.7367258667945862
fixed,8,0.5879991926528789,0.22080616942754613,0.4715895762456803,0.7376136183738708
fixed,9,0.4970332384109497,0.21735959177154007,0.48739253840127206,0.7872849106788635
fixed,10,0.4503022575819934,0.23418690442265883,0.5003459924758511,0.7476198077201843
fixed,11,0.4092100439248262,0.2249255427395139,0.4787750407870655,0.7501641511917114
fixed,12,0.3912907728442439,0.24149538024326705,0.49840652868681956,0.7611980438232422
fixed,13,0.38111469701484396,0.22685584417067944,0.47692841372208505,0.729524552822113
fixed,14,0.33877015003451594,0.22865117729145784,0.4662039335133365,0.7279483079910278
fixed,15,0.29282702450399045,0.23846082292576853,0.48848840883154604,0.7422136664390564
fixed,16,0.2804202553298738,0.24953282603723767,0.49166353482155173,0.7263030409812927
full,1,1.271343262107284,-0.03946817027844062,0.21138211382113822,0.7534175515174866
full,2,1.1981970910672788,0.09732783460490609,0.35409850745314003,0.7727349400520325
full,3,1.1052933048318934,0.12886443811396292,0.3828102656732144,0.7612137794494629
full,4,1.0156404883773238,0.1640020949916853,0.40403715496768955,0.7100118398666382
full,5,0.9077085256576538,0.20738515143944508,0.4557582981048857,0.7179841995239258
full,6,0.7736010683907403,0.10731834136188494,0.39688268476834726,0.8905861973762512
full,7,0.6972386108504401,0.2069794098217262,0.4669494596483205,0.760235607624054
full,8,0.5899183827417868,0.2434965783564682,0.505031268285725,0.7583375573158264
full,9,0.5049390936339343,0.23777089046708338,0.5016089856770782,0.7723183035850525
full,10,0.46324729919433594,0.26151817781614295,0.5175040742931208,0.7323569655418396
full,11,0.4273583977310746,0.229720483436361,0.4859899708477791,0.7441794276237488
full,12,0.4162136393564719,0.22857954570728198,0.47926044004724533,0.752374529838562
full,13,0.3989538660755864,0.21349168036695082,0.4476821940810811,0.7164742350578308
full,14,0.346352971262402,0.25485021390770446,0.5021887631536754,0.7153206467628479
