model,best_epoch,selection_score,parameter_count
baseline,4,0.22974456157965992,1512538
no_augment,6,0.24598626846589128,1507930
no_mask,15,0.2584070866304886,1507930
fixed,16,0.24953282603723767,1507930
full,10,0.26151817781614295,1507930
