family,scenario,old_model,corrected_model,old_available,old_accuracy,corrected_accuracy,corrected_minus_old_accuracy,old_macro_f1,corrected_macro_f1,corrected_minus_old_macro_f1,old_mae,corrected_mae,corrected_minus_old_mae,old_pearson,corrected_pearson,corrected_minus_old_pearson
ordinary_selected,complete,fixed,full,True,0.5260989010989011,0.5453296703296703,0.019230769230769162,0.4942023068990393,0.5175040742931208,0.02330176739408152,0.7318940758705139,0.7323569655418396,0.0004628896713256836,0.4366875023321917,0.4358856065001489,-0.0008018958320428204
ordinary_selected,text_middle_40,fixed,full,True,0.5013736263736264,0.5068681318681318,0.005494505494505475,0.47528074525836067,0.47498411520852873,-0.0002966300498319363,0.7601747512817383,0.756032407283783,-0.004142343997955322,0.38441109835414744,0.3763185490243791,-0.008092549329768328
ordinary_selected,audio_middle_40,fixed,full,True,0.5206043956043956,0.5412087912087912,0.02060439560439553,0.4900223992490034,0.5127369965677145,0.022714597318711116,0.7283502221107483,0.7289636731147766,0.0006134510040283203,0.4411148905561622,0.43617424873495286,-0.004940641821209346
ordinary_selected,vision_middle_40,fixed,full,True,0.5164835164835165,0.5425824175824175,0.026098901098901006,0.4836784555922001,0.5140774061747783,0.030398950582578188,0.7297985553741455,0.7300215363502502,0.00022298097610473633,0.4401455106943224,0.4368947904834667,-0.0032507202108557065
ordinary_selected,audio_vision_middle_40,fixed,full,True,0.5206043956043956,0.5425824175824175,0.0219780219780219,0.48899738778594354,0.5130166625757591,0.024019274789815526,0.7262194156646729,0.7268105149269104,0.0005910992622375488,0.44452015354955865,0.43706325862800194,-0.0074568949215567115
ordinary_selected,text_only,fixed,full,False,,0.5302197802197802,,,0.49036570710115285,,,0.7811499238014221,,,0.4042452116224022,
ordinary_fixed,complete,fixed,fixed,True,0.5260989010989011,0.4945054945054945,-0.03159340659340659,0.4942023068990393,0.49166353482155173,-0.0025387720774875944,0.7318940758705139,0.7263030409812927,-0.005591034889221191,0.4366875023321917,0.44306238420342486,0.00637488187123314
ordinary_fixed,text_middle_40,fixed,fixed,True,0.5013736263736264,0.49175824175824173,-0.009615384615384637,0.47528074525836067,0.4860207970674521,0.010740051809091433,0.7601747512817383,0.7532715797424316,-0.006903171539306641,0.38441109835414744,0.40432557035889277,0.01991447200474533
ordinary_fixed,audio_middle_40,fixed,fixed,True,0.5206043956043956,0.4945054945054945,-0.026098901098901117,0.4900223992490034,0.4900658749454701,4.347569646667715e-05,0.7283502221107483,0.7179449796676636,-0.010405242443084717,0.4411148905561622,0.4519934932620315,0.010878602705869267
ordinary_fixed,vision_middle_40,fixed,fixed,True,0.5164835164835165,0.5,-0.016483516483516536,0.4836784555922001,0.49785651450784335,0.014178058915643277,0.7297985553741455,0.7241279482841492,-0.005670607089996338,0.4401455106943224,0.4453179305527505,0.00517241985842809
ordinary_fixed,audio_vision_middle_40,fixed,fixed,True,0.5206043956043956,0.5,-0.020604395604395642,0.48899738778594354,0.49429965451800434,0.005302266732060801,0.7262194156646729,0.7150791883468628,-0.011140227317810059,0.44452015354955865,0.4539366413114393,0.009416487761880643
ordinary_fixed,text_only,fixed,fixed,False,,0.4478021978021978,,,0.4491748917972563,,,0.7330231666564941,,,0.4150051162979052,
optimized_selected,complete,tiny_weighted,tiny_weighted,True,0.5879120879120879,0.5769230769230769,-0.010989010989011061,0.5647766452703767,0.544898164904344,-0.01987848036603279,0.6712197661399841,0.6778661608695984,0.006646394729614258,0.5427693633816852,0.5439490862040881,0.0011797228224028622
optimized_selected,text_middle_40,tiny_weighted,tiny_weighted,True,0.554945054945055,0.5576923076923077,0.0027472527472527375,0.5348087372317193,0.5312362436474358,-0.003572493584283465,0.7043341398239136,0.7128013372421265,0.00846719741821289,0.4885378343212907,0.48959556475636234,0.0010577304350716243
optimized_selected,audio_middle_40,tiny_weighted,tiny_weighted,True,0.5892857142857143,0.5879120879120879,-0.0013736263736263687,0.5680970336016699,0.5578475197119265,-0.010249513889743378,0.6647728681564331,0.6712866425514221,0.006513774394989014,0.5494539262334831,0.5490868264309274,-0.00036709980255567043
optimized_selected,vision_middle_40,tiny_weighted,tiny_weighted,True,0.5892857142857143,0.5810439560439561,-0.008241758241758212,0.5646830071713694,0.5473441768587399,-0.017338830312629505,0.670206606388092,0.673876166343689,0.003669559955596924,0.5430278445441992,0.5443781255757429,0.0013502810315437763
optimized_selected,audio_vision_middle_40,tiny_weighted,tiny_weighted,True,0.5879120879120879,0.5947802197802198,0.006868131868131844,0.566568502588107,0.5638607296731873,-0.0027077729149196372,0.6643944978713989,0.6686338782310486,0.004239380359649658,0.5495953210405925,0.5494255646638811,-0.0001697563767113497
optimized_selected,text_only,tiny_weighted,tiny_weighted,False,,0.5645604395604396,,,0.5533022764397177,,,0.6755809783935547,,,0.544068964710774,
