model,best_epoch,selection_score,parameter_count
baseline,5,0.23508862226077282,1512538
no_augment,8,0.22344251633589396,1507930
no_mask,9,0.23650389387937718,1507930
fixed,10,0.2413404576034548,1507930
full,8,0.23053237689872716,1507930
